stimuli	p
not definitely	14
generally	67
probably	54
mostly	54
it depends	50
definitely	87
in general yes	55
not probably	31
usually not	39
yep	100
nope	7
perhaps	60
definitely	100
in general no	11
possibly	55
certainly	100
I think so	59
not probably	16
possibly not	41
not certainly	38
it depends	59
mostly	77
probably	74
definitely not	0
sort of	62
usually not	14
not definitely	0
probably not	17
sometimes	72
yes	100
not possibly	9
rarely	14
certainly not	0
not usually	17
yep	72
definitely	63
probably	58
not possibly	28
no	0
I don't think so	2
mostly	66
nope	0
definitely not	0
not usually	7
yes	98
sometimes	51
rarely	48
certainly not	0
certainly	100
possibly not	13
probably not	6
not probably	30
usually	81
in general no	30
it depends	49
in general yes	69
generally	50
sort of	50
not certainly	42
possibly	66
not certainly	21
not usually	68
rarely	12
probably not	23
definitely not	0
certainly not	0
I think so	69
I don't think so	27
in general yes	77
generally	79
possibly not	21
usually not	9
not definitely	6
mostly	87
certainly	99
not possibly	18
nope	1
in general no	14
yep	98
it depends	43
I don't think so	51
no	0
sometimes	59
perhaps	62
not probably	17
definitely	100
not certainly	11
sort of	5
it depends	81
not possibly	78
rarely	8
sometimes	66
not usually	69
possibly not	63
usually	91
mostly	77
possibly	88
yep	100
certainly	97
I think so	65
usually not	14
probably	60
generally	69
certainly not	0
not definitely	0
probably not	14
definitely not	0
in general yes	73
perhaps	77
no	0
certainly	91
certainly not	0
definitely not	2
possibly	63
possibly not	27
sort of	58
not probably	22
not usually	7
not certainly	9
rarely	10
definitely	97
in general yes	89
I think so	86
it depends	43
nope	2
not definitely	10
not possibly	11
generally	62
sometimes	59
yes	98
yep	99
no	2
probably	76
perhaps	60
I don't think so	10
not definitely	1
certainly	100
not probably	14
not usually	38
in general yes	69
yes	100
I don't think so	17
sort of	58
definitely	100
generally	65
probably not	32
usually not	37
perhaps	67
certainly not	0
yep	83
possibly not	13
definitely not	0
usually	82
no	0
it depends	63
possibly	66
in general no	20
probably	70
nope	0
sometimes	61
no	0
in general yes	77
sort of	31
definitely not	0
not certainly	42
not probably	39
generally	68
certainly	91
nope	18
in general no	26
probably	79
definitely	96
probably not	23
certainly not	6
I don't think so	40
I think so	64
not definitely	38
perhaps	68
mostly	82
possibly	62
it depends	37
sometimes	59
usually not	23
yes	100
not usually	22
usually	69
sort of	49
generally	57
usually	67
not certainly	44
it depends	35
not usually	65
in general yes	40
yes	98
yes	40
probably not	15
it depends	71
nope	1
not possibly	39
possibly	50
sometimes	47
certainly not	69
certainly not	3
mostly	41
perhaps	71
in general yes	89
sometimes	40
not certainly	6
not definitely	36
not usually	13
probably	90
no	66
I think so	70
generally	43
I don't think so	11
usually not	36
certainly	81
I don't think so	75
no	4
definitely	82
mostly	81
possibly not	63
not probably	38
rarely	58
I think so	37
definitely not	4
nope	68
not definitely	3
definitely not	36
in general no	9
probably not	75
not possibly	8
probably	59
usually not	11
perhaps	55
probably	86
perhaps	54
in general yes	90
not possibly	0
sometimes	54
in general no	7
usually	83
I don't think so	5
definitely	97
possibly not	33
yes	100
generally	60
usually not	26
yep	97
not usually	23
not certainly	38
possibly	70
it depends	48
not probably	7
mostly	82
I think so	63
not definitely	52
nope	2
certainly	99
rarely	7
definitely not	2
in general no	76
not usually	100
certainly not	100
it depends	43
not definitely	0
in general yes	76
not probably	21
yes	100
possibly not	26
I don't think so	43
probably not	28
not certainly	0
sometimes	43
perhaps	64
rarely	26
I think so	47
usually	81
certainly	100
definitely	99
nope	1
generally	83
yep	100
no	0
not possibly	25
definitely	87
not usually	8
not probably	33
generally	59
certainly not	8
usually not	32
in general no	9
not definitely	34
yes	100
probably not	29
usually	67
no	0
yep	87
mostly	71
sort of	59
it depends	53
definitely not	8
I think so	67
probably	65
possibly not	34
rarely	15
certainly	85
in general yes	82
perhaps	60
I don't think so	21
usually	73
probably not	17
certainly	90
not usually	13
not definitely	60
possibly	70
definitely	86
yes	100
mostly	92
I don't think so	6
in general yes	96
certainly not	6
no	0
in general no	13
sometimes	65
rarely	16
possibly not	35
generally	67
perhaps	70
probably	73
sort of	68
nope	18
not possibly	42
yep	74
it depends	60
not definitely	67
I don't think so	8
certainly not	1
I think so	86
perhaps	63
probably not	19
possibly	46
yep	99
possibly not	20
in general no	13
not usually	32
not possibly	39
usually	73
probably	59
not certainly	36
generally	70
in general yes	86
usually not	24
it depends	59
nope	0
definitely	100
yes	99
sort of	64
mostly	86
no	0
in general yes	90
certainly	100
I don't think so	7
sort of	50
certainly not	0
not possibly	0
in general no	8
I think so	72
yep	100
sometimes	50
definitely	100
perhaps	38
possibly	57
rarely	18
generally	87
possibly not	30
not possibly	0
it depends	50
not probably	38
not usually	10
certainly	100
definitely not	0
possibly not	30
probably	88
probably not	11
I think so	92
nope	0
no	0
not certainly	66
rarely	9
usually not	15
mostly	89
could be but not necessarily	72
maybe	50
usually	88
yes!	100
mostly not	8
it can be but not necessarily	74
YES!!!	100
I don't think so	7
hmm not exactly... (but again one could) 	55
NO!	0
yes, it could	64
not quite	26
yes it can be	68
no not exactly	21
YESSSSS!!!!! :):)	100
no in general	6
yes I suppose	78
I think so...	79
yup	100
nono	0
no, not generally	6
yes i would assume so yes 	80
definitely	100
:) not sure, maybe	38
no, not normally	11
no it doesn't really relate	8
kind of	50
no not necessarily but could be	64
no, not usuallly	5
not probably	59
definitely	100
generally	93
not definitely	66
in general no	6
not definitely	33
nope	0
in general yes	69
perhaps	66
I think so	71
sometimes	60
yep	100
generally	84
usually	89
yes	100
mostly	88
not certainly	40
not certainly	6
not possibly	29
I don't think so	10
probably not	0
rarely	12
NO!	0
possibly not	18
yup	100
probably	89
YESSSSS!!!!! :):)	100
probably	86
rarely	5
ah...hmmmm.... i guess i have to say no... 	4
not necessarily	13
sometimes	52
yes, definitely	100
definitely not	100
no not necessarily but could be	47
generally	74
yes, it is possible	71
certainly not	9
not usually	7
mostly	19
it's possible, but generally i guess i'd say no 	50
sort of	50
not definitely	12
definitely	100
yes I suppose	72
perhaps	54
usually	26
mostly	84
not possibly	18
no, not necessarily	18
nope	2
yes	98
I don't think so	38
that's a hard one... I guess not really	39
it depends	56
sometimes	53
mostly not	15
I don't think so	6
no not really	12
no	24
usually, yes	90
not usually	42
not that much	36
yep	70
possibly	66
no in general	11
usually	60
in general yes	83
yes, that's right	99
no not necessarily at least	36
perhaps	57
possibly, yes	82
yes i would assume so yes 	100
sort of	60
mostly	88
rarely	47
yes!	100
no, not normally	5
no, not at all	0
yep	98
not usually	38
yes	100
yes, in general	84
generally	74
yes but not necessarily	66
yes!	100
yes	75
I think so...	60
nope	0
in general no	39
almost	82
no in general	6
yes!!!	100
hmm, I'd say yes in general 	87
possibly	50
I don't think so	14
not exactly	19
generally	57
no, it can be but not necessarily	17
yes, that's right	100
nope	33
no, not necessarily	17
possibly not	66
usually not	41
probably	82
possibly not	47
eh... yes, you could say so. 	73
no	1
:) not sure, maybe	47
that's a hard one... I guess not really	20
yes at least possibly	59
no not necessarily but could be	28
I think so	61
yes definitely	100
yes, in general	85
kind of	56
yes, I think so	82
yes usually	66
rarely	71
yes, it could	89
generally yes, but not necessarily	67
no not necessarily at least	39
no not necessarily at least	32
hmm not exactly... (but again one could) 	58
could be both yes and no	51
I think so kind of	62
not that much	37
no not exactly	6
no in general	35
yes, definitely	100
I don't think so	19
usually	91
yes in general	69
almost	75
not possibly	1
yup	100
i would say yes	78
could be but not necessarily	53
yes	100
i would say yes	97
yes it can be	74
rarely	16
maybe	59
it depends	52
yup	64
perhaps	52
in general no	8
probably	87
certainly	100
could be but not necessarily	36
certainly not	9
it can be but not necessarily	55
sometimes	61
sort of	56
eh... yes, you could say so. 	65
probably not	22
nope	75
in general no	13
not definitely	42
yes to some extent	67
not necessarily	39
definitely not	0
possibly, yes	62
usually not	43
kind of	53
generally	71
yes, it could	72
mostly not	15
yes, that's right	100
usually not	86
not quite	43
yup	100
I think so...	63
in general yes	89
maybe	57
no, it can be but not necessarily	43
it can be but not necessarily	53
usually	88
eh... yes, you could say so. 	58
ah...hmmmm.... i guess i have to say no... 	12
no not necessarily at least	15
possibly not	36
certainly not	38
sort of	41
yes!	81
yes it can be	81
no, not usuallly	3
yes, it can be	81
hmm, I'd say yes in general 	80
definitely	100
yes, very likely	100
not quite	35
yes!!!	100
not exactly	40
no	100
in general yes	62
yes to some extent	69
not exactly	32
sometimes	51
yes!!!	85
generally yes, but not necessarily	82
no in general	9
i would say yes	70
possibly but it's doubtful	35
generally	97
in general no	9
yes, I think so	76
no	43
in general, no	13
I think so	70
yes to some extent	68
usually not	14
possibly but it's doubtful	55
in general yes	93
yes usually	94
probably not	29
yes, that's right	100
not that much	13
I think so kind of	42
in general no	93
yes, it can be	62
not definitely	36
yes at least possibly	63
not usually	29
certainly	96
I think so	44
hmm, I'd say yes in general 	63
usually	87
not possibly	36
mostly not	33
possibly not	94
no, not normally	6
yes at least possibly	63
yes!!!	100
definitely	90
in general, no	4
I think so	100
depends	43
yes	93
usually, yes	92
perhaps	100
sort of	49
yes, it is possible	64
yes, it is possible	65
definitely	48
definitely	100
generally yes, but not necessarily	45
no, not necessarily	15
Uhm not necessarily	40
not definitely	0
possibly, yes	53
I think so	45
yes, definitely	100
sort of	96
nono	36
I think so...	54
I don't think so	31
definitely	100
possibly but it's doubtful	33
I don't think so	100
no not necessarily at least	34
that's a hard one... I guess not really	28
no, not generally	4
nope	14
not necessarily	41
sometimes	48
i would say yes	56
yes definitely	100
nope	0
not possibly	8
I think so	64
perhaps	49
yea	67
ah...hmmmm.... i guess i have to say no... 	30
not definitely	39
yes!!	100
usually	71
definitely not	100
eh... yes, you could say so. 	39
not certainly	34
yep	24
yes	100
yes usually	86
hmm, I'd say yes in general 	48
yes but not necessarily	63
definitely not	0
possibly but it's doubtful	96
I'm going to say yes	82
no	100
:) not sure, maybe	44
i would say yes	87
not possibly	35
no, not normally	100
no, not generally	12
not certainly	0
rarely	82
no, not generally	37
it can be but not necessarily	32
yes	100
not usually	17
certainly not	99
could be both yes and no	48
yes!	65
rarely	9
depends	0
YESSSSS!!!!! :):)	100
no, it can be but not necessarily	35
yes i would assume so yes 	60
yes, that's right	98
sometimes	50
in general, no	46
no, not usuallly	100
definitely not	100
mostly	93
possibly but it's doubtful	21
no not necessarily at least	0
possibly, yes	59
not exactly	50
usually, yes	70
not usually	58
hmm, I'd say yes in general 	84
yes in general	23
perhaps	67
yes at least possibly	44
nope	100
no not exactly	36
not probably	36
no, not usuallly	40
probably not	77
NO!	99
probably	47
yes	100
yes but not necessarily	76
almost	90
in general, no	64
possibly not	83
no, not at all	41
NO!	100
YES!!!	100
sometimes	100
hmm, I'd say yes in general 	90
hmm not exactly... (but again one could) 	38
yes	50
could be both yes and no	43
ah...hmmmm.... i guess i have to say no... 	26
maybe	45
I think so	49
perhaps	49
possibly but it's doubtful	77
certainly not	48
yes to some extent	38
rarely	48
YES!!!	62
no not exactly	73
no, not usuallly	14
in general, no	100
generally	86
yes, that's right	100
yes usually	90
yes, it is possible	60
not usually	53
not necessarily	97
usually not	26
not definitely	50
rarely	75
not usually	100
in general yes	87
no, it can be but not necessarily	70
in general yes	63
that's a hard one... I guess not really	17
rarely	15
mostly	62
yes, it could	72
possibly	100
probably not	18
sort of	82
I think so...	42
I think so	65
I don't think so	44
possibly not	69
that's a hard one... I guess not really	67
mostly not	0
nope	48
it depends	47
not usually	95
ah...hmmmm.... i guess i have to say no... 	29
yes, in general	83
NO!	33
probably	64
sometimes	50
mostly	50
generally yes, but not necessarily	98
usually	71
yes, in general	83
I don't think so	4
I'm going to say yes	55
no, not generally	50
in general yes	64
YES!!!	100
yep	100
sort of	50
no, it can be but not necessarily	91
yup	88
I think so	67
no	50
not certainly	6
could be both yes and no	99
i would say yes	100
not possibly	19
sort of	64
it depends	43
I think so...	76
usually	76
definitely not	50
could be but not necessarily	32
possibly	57
Uhm not necessarily	12
Uhm not necessarily	67
not possibly	2
in general no	26
not necessarily	26
certainly	100
not probably	0
I think so kind of	58
definitely not	0
no not necessarily at least	13
eh... yes, you could say so. 	71
it's possible, but generally i guess i'd say no 	94
not usually	12
yes to some extent	52
no not really	43
YESSSSS!!!!! :):)	100
nope	0
not that much	43
yes, definitely	100
yes usually	62
not quite	50
yes i would assume so yes 	82
not necessarily	45
not necessarily	11
maybe	90
no, not at all	100
perhaps	81
yes, I think so	98
I'm going to say yes	55
sometimes	43
NO!	0
yes, that's right	56
depends	46
yes usually	92
I think so kind of	83
yes to some extent	69
not exactly	50
usually	100
nono	0
no not really	31
it can be but not necessarily	75
possibly but it's doubtful	52
yea	50
:) not sure, maybe	58
no in general	12
it can be but not necessarily	100
yes, very likely	91
perhaps	50
nono	36
no it doesn't really relate	11
yes	81
that's a hard one... I guess not really	47
yes!	100
hmm not exactly... (but again one could) 	10
hmm, I'd say yes in general 	69
yes it can be	80
yes usually	75
it's possible, but generally i guess i'd say no 	34
Uhm not necessarily	68
definitely	100
no, it can be but not necessarily	70
:) not sure, maybe	69
yes usually	95
eh... yes, you could say so. 	82
it can be but not necessarily	39
could be but not necessarily	93
no not necessarily at least	12
no it doesn't really relate	11
yes but not necessarily	56
depends	100
it's possible, but generally i guess i'd say no 	75
no in general	44
no not necessarily but could be	67
could be but not necessarily	66
possibly	100
I'm going to say yes	92
mostly not	5
usually, yes	53
usually	76
almost	70
yes, it could	61
Uhm not necessarily	37
I think so kind of	21
not really	46
no, not generally	31
yes!	100
yes, it could	86
probably	73
yes!!	100
no not exactly	14
yes i would assume so yes 	88
yes i would assume so yes 	4
certainly not	6
yes I suppose	78
yes, I think so	91
no not necessarily but could be	35
no in general	64
not possibly	15
yes, I think so	78
yes, it is possible	79
yes!	100
yes, I think so	76
no, it can be but not necessarily	15
in general no	53
definitely	100
kind of	50
not definitely	31
I think so...	54
no not really	50
in general, no	38
not usually	26
no, it can be but not necessarily	24
YESSSSS!!!!! :):)	50
no, not normally	41
no, not normally	16
it depends	62
possibly	74
yup	100
yes!!	50
yes, it is possible	61
mostly	38
not really	50
I don't think so	16
could be both yes and no	100
yup	100
nope	50
definitely not	8
not necessarily	3
:) not sure, maybe	45
possibly not	27
no it doesn't really relate	100
I don't think so	86
yes definitely	100
no, it can be but not necessarily	45
generally yes, but not necessarily	94
no	6
it depends	55
eh... yes, you could say so. 	52
perhaps	95
no not necessarily but could be	12
not usually	38
yup	50
i would say yes	90
yes definitely	50
in general no	38
generally	82
not definitely	43
no not necessarily at least	50
sort of	54
that's a hard one... I guess not really	17
certainly	94
no not necessarily at least	15
probably not	27
no not necessarily but could be	77
usually, yes	91
mostly	79
not definitely	56
no, not at all	34
Uhm not necessarily	19
perhaps	64
no	50
could be but not necessarily	36
probably	75
definitely	87
yep	50
yes, that's right	100
rarely	50
kind of	60
possibly	69
sort of	50
yes it can be	100
sometimes	50
usually	50
no not exactly	28
yes, definitely	92
generally	50
could be both yes and no	49
usually not	50
probably not	50
yes in general	80
in general yes	50
probably	66
could be both yes and no	50
possibly	50
possibly	65
yes, it could	78
certainly	50
no, not generally	20
I don't think so	50
yea	50
no, not generally	18
yes, it could	50
almost	81
no not necessarily at least	33
:) not sure, maybe	45
generally yes, but not necessarily	78
yes, it can be	64
yes, that's right	83
no, not usuallly	13
hmm, I'd say yes in general 	64
yes, very likely	82
yes at least possibly	64
ah...hmmmm.... i guess i have to say no... 	28
not quite	39
no, not necessarily	35
nope	10
yes, in general	79
not exactly	50
yes	50
yup	89
no, not necessarily	50
yes usually	66
nono	50
no, not normally	50
YES!!!	96
i would say yes	50
usually	46
not that much	50
yes it can be	70
maybe	50
I think so kind of	67
maybe	50
NO!	50
yes, that's right	50
yes	50
yes, it is possible	60
nope	50
no in general	24
no, not at all	33
possibly but it's doubtful	59
yep	80
usually not	50
perhaps	50
generally yes, but not necessarily	48
it's possible, but generally i guess i'd say no 	24
not certainly	21
yes, it can be	71
I think so...	60
no, not necessarily	17
yea	78
not probably	15
i would say yes	85
not probably	35
probably not	6
almost	43
not certainly	70
yes, it is possible	50
not quite	33
Uhm not necessarily	50
yes	100
usually, yes	64
certainly	98
yes usually	50
perhaps	50
probably	82
yes to some extent	50
yes but not necessarily	50
sometimes	58
eh... yes, you could say so. 	26
possibly, yes	50
usually, yes	50
in general no	15
yes	86
it depends	48
it's possible, but generally i guess i'd say no 	50
yes!!	50
depends	50
not usually	25
in general, no	50
mostly not	50
not really	50
nope	0
yes in general	50
I think so	50
almost	50
definitely not	0
usually	73
:) not sure, maybe	50
no not really	50
could be both yes and no	50
in general no	12
yes it can be	74
usually	87
yes!!	100
in general yes	94
depends	48
sort of	46
no	1
I think so	76
yes!	100
generally	79
no in general	14
no not really	6
sort of	44
yes but not necessarily	75
YES!!!	100
mostly not	28
yes at least possibly	76
hmm, I'd say yes in general 	69
no, not normally	14
yes usually	79
yes, it is possible	82
yes it can be	77
no, not at all	0
no not exactly	10
no, not at all	0
YESSSSS!!!!! :):)	100
not probably	23
no not necessarily but could be	31
could be both yes and no	48
yes, very likely	94
I think so	77
perhaps	60
I think so	84
certainly	84
possibly but it's doubtful	39
:) not sure, maybe	56
yes	100
usually not	15
perhaps	64
yes but not necessarily	80
usually not	6
:) not sure, maybe	58
definitely	98
I think so kind of	72
it depends	36
definitely not	2
yes in general	76
possibly not	27
no, not necessarily	15
in general no	10
nono	0
certainly not	5
ah...hmmmm.... i guess i have to say no... 	13
I don't think so	13
rarely	16
it's possible, but generally i guess i'd say no 	30
ah...hmmmm.... i guess i have to say no... 	21
generally	92
no	1
maybe	49
yes, it could	72
not definitely	11
it can be but not necessarily	67
mostly	94
that's a hard one... I guess not really	9
yes, that's right	56
in general no	6
not probably	3
yes, I think so	70
it's possible, but generally i guess i'd say no 	23
not that much	13
not that much	36
not possibly	35
perhaps	68
no not necessarily at least	24
probably	76
perhaps	68
I think so	68
yea	73
not usually	17
yes	99
no, not normally	24
usually	86
nope	2
yes, very likely	86
yep	97
nope	0
yes, it can be	74
in general yes	88
yes, definitely	100
not usually	9
eh... yes, you could say so. 	56
no in general	5
yes at least possibly	38
could be but not necessarily	12
no not really	19
yes in general	65
NO!	2
no, not necessarily	26
possibly, yes	72
possibly but it's doubtful	37
yes, it could	73
eh... yes, you could say so. 	58
no not necessarily but could be	29
yes i would assume so yes 	65
possibly	69
in general, no	27
no not necessarily at least	36
hmm not exactly... (but again one could) 	26
I think so...	67
ah...hmmmm.... i guess i have to say no... 	21
Uhm not necessarily	36
i would say yes	92
no it doesn't really relate	5
it depends	59
nono	2
yup	85
sort of	57
yes but not necessarily	64
