stimuli	l	u
hmm not exactly... (but again one could) 	31	58
hmm not exactly... (but again one could) 	28	62
hmm not exactly... (but again one could) 	47	100
hmm not exactly... (but again one could) 	29	69
hmm not exactly... (but again one could) 	25	44
hmm not exactly... (but again one could) 	3	100
hmm not exactly... (but again one could) 	45	100
hmm not exactly... (but again one could) 	34	53
hmm not exactly... (but again one could) 	32	74
hmm not exactly... (but again one could) 	29	49
hmm not exactly... (but again one could) 	32	59
hmm not exactly... (but again one could) 	1	49
hmm not exactly... (but again one could) 	15	15
hmm not exactly... (but again one could) 	20	27
hmm not exactly... (but again one could) 	40	71
hmm, I'd say yes in general 	37	100
hmm, I'd say yes in general 	80	100
hmm, I'd say yes in general 	85	85
hmm, I'd say yes in general 	83	100
hmm, I'd say yes in general 	17	100
hmm, I'd say yes in general 	70	100
hmm, I'd say yes in general 	54	100
hmm, I'd say yes in general 	50	81
hmm, I'd say yes in general 	87	100
hmm, I'd say yes in general 	69	92
hmm, I'd say yes in general 	69	94
hmm, I'd say yes in general 	66	97
hmm, I'd say yes in general 	47	89
hmm, I'd say yes in general 	47	100
hmm, I'd say yes in general 	85	100
hmm, I'd say yes in general 	86	100
hmm, I'd say yes in general 	40	77
hmm, I'd say yes in general 	76	86
hmm, I'd say yes in general 	80	100
hmm, I'd say yes in general 	71	91
hmm, I'd say yes in general 	51	100
hmm, I'd say yes in general 	71	87
hmm, I'd say yes in general 	88	92
hmm, I'd say yes in general 	17	95
hmm, I'd say yes in general 	72	100
hmm, I'd say yes in general 	91	91
hmm, I'd say yes in general 	76	84
hmm, I'd say yes in general 	38	99
hmm, I'd say yes in general 	70	100
I don't think so	0	18
I don't think so	32	68
I don't think so	0	0
I don't think so	0	9
I don't think so	0	18
I don't think so	0	28
I don't think so	4	34
I don't think so	0	0
I don't think so	29	90
I don't think so	0	29
I don't think so	0	31
I don't think so	0	14
I don't think so	0	18
I don't think so	2	76
I don't think so	7	67
I don't think so	11	61
I don't think so	4	79
I don't think so	21	58
I don't think so	12	38
I don't think so	0	70
I don't think so	21	39
I don't think so	0	0
I don't think so	0	22
I don't think so	0	35
I don't think so	0	41
I don't think so	0	7
I don't think so	0	65
I don't think so	13	13
I don't think so	0	12
I don't think so	7	54
I don't think so	11	43
I don't think so	0	7
I don't think so	15	25
I don't think so	4	16
I don't think so	0	4
I don't think so	0	61
I don't think so	24	40
I don't think so	2	55
I don't think so	15	37
I don't think so	18	23
I don't think so	0	26
I don't think so	36	61
I don't think so	0	33
I don't think so	7	7
I don't think so	0	40
I don't think so	0	62
I don't think so	0	66
I don't think so	0	59
I don't think so	32	67
I don't think so	0	19
I don't think so	31	67
I think so	48	100
I think so	42	100
I think so	44	85
I think so	50	92
I think so	36	100
I think so	68	100
I think so	47	100
I think so	21	68
I think so	21	62
I think so	100	100
I think so	46	97
I think so	53	100
I think so	63	100
I think so	51	100
I think so	52	100
I think so	39	100
I think so	72	100
I think so	34	100
I think so	41	100
I think so	49	100
I think so	45	87
I think so	85	100
I think so	75	100
I think so	20	58
I think so	44	100
I think so	52	100
I think so	78	85
I think so	74	89
I think so	47	100
I think so	15	72
I think so	11	83
I think so	31	100
I think so	78	81
I think so	0	78
I think so	56	94
I think so	37	70
I think so	73	91
I think so	69	82
I think so	74	80
I think so	51	86
I think so	58	89
I think so	26	76
I think so	32	54
I think so	10	89
I think so	47	100
I think so	70	100
I think so	58	100
I think so	51	51
I think so	81	83
I think so	69	94
I think so	46	85
I think so	46	83
I think so kind of	57	100
I think so kind of	60	100
I think so kind of	54	80
I think so kind of	48	83
I think so kind of	41	78
I think so kind of	13	72
I think so kind of	90	90
I think so kind of	82	86
I think so kind of	53	100
I think so kind of	73	100
I think so kind of	96	100
I think so kind of	58	100
I think so kind of	27	100
I think so kind of	49	100
I think so kind of	11	88
I think so kind of	6	100
I think so kind of	56	100
I think so kind of	58	74
I think so kind of	61	80
I think so kind of	47	65
I think so kind of	44	57
I think so kind of	23	77
I think so kind of	16	87
I think so kind of	46	51
I think so kind of	47	77
I think so...	25	71
I think so...	47	93
I think so...	24	78
I think so...	64	100
I think so...	40	79
I think so...	58	100
I think so...	80	100
I think so...	60	100
I think so...	49	92
I think so...	55	100
I think so...	35	100
I think so...	54	100
I think so...	22	80
I think so...	40	89
I think so...	66	100
I think so...	63	81
I think so...	88	100
I think so...	64	85
I think so...	14	90
I think so...	58	95
I think so...	71	87
I think so...	49	54
I think so...	70	100
I think so...	37	89
I think so...	58	100
I think so...	52	54
I think so...	47	100
i would say yes	83	100
i would say yes	25	95
i would say yes	22	96
i would say yes	94	94
i would say yes	76	100
i would say yes	58	100
i would say yes	27	100
i would say yes	81	100
i would say yes	88	100
i would say yes	72	72
i would say yes	28	74
i would say yes	81	100
i would say yes	87	100
i would say yes	81	100
i would say yes	40	100
i would say yes	69	100
i would say yes	83	100
i would say yes	57	85
i would say yes	100	100
i would say yes	94	95
i would say yes	72	100
i would say yes	83	100
i would say yes	96	96
i would say yes	24	77
i would say yes	52	89
i would say yes	100	100
i would say yes	90	90
I'm going to say yes	90	100
I'm going to say yes	100	100
I'm going to say yes	87	100
I'm going to say yes	81	100
I'm going to say yes	81	100
I'm going to say yes	81	100
I'm going to say yes	60	100
I'm going to say yes	84	100
I'm going to say yes	40	100
I'm going to say yes	100	100
I'm going to say yes	100	100
I'm going to say yes	68	100
I'm going to say yes	99	100
I'm going to say yes	93	100
I'm going to say yes	17	100
I'm going to say yes	70	100
I'm going to say yes	91	100
I'm going to say yes	84	100
I'm going to say yes	85	98
I'm going to say yes	51	99
I'm going to say yes	57	94
I'm going to say yes	93	97
I'm going to say yes	78	100
I'm going to say yes	60	100
I'm going to say yes	61	100
I'm going to say yes	15	98
I'm going to say yes	51	100
in general no	0	14
in general no	0	22
in general no	0	17
in general no	11	86
in general no	0	50
in general no	13	13
in general no	0	7
in general no	0	21
in general no	0	17
in general no	0	25
in general no	0	24
in general no	0	14
in general no	0	62
in general no	0	15
in general no	6	25
in general no	0	35
in general no	11	56
in general no	9	66
in general no	1	79
in general no	0	8
in general no	0	9
in general no	0	55
in general no	0	17
in general no	0	17
in general no	0	15
in general no	0	32
in general no	11	38
in general no	0	0
in general no	1	6
in general no	0	68
in general no	10	43
in general no	0	29
in general no	0	34
in general no	8	34
in general no	0	0
in general no	6	15
in general no	0	42
in general no	24	24
in general no	20	21
in general yes	0	76
in general yes	84	100
in general yes	80	100
in general yes	78	100
in general yes	91	100
in general yes	60	83
in general yes	78	100
in general yes	71	97
in general yes	63	100
in general yes	62	100
in general yes	55	94
in general yes	100	100
in general yes	33	100
in general yes	29	100
in general yes	85	90
in general yes	84	100
in general yes	31	100
in general yes	13	100
in general yes	54	100
in general yes	90	94
in general yes	35	95
in general yes	80	93
in general yes	51	100
in general yes	38	100
in general, no	6	43
in general, no	0	14
in general, no	6	6
in general, no	0	16
in general, no	1	15
in general, no	0	19
in general, no	10	58
in general, no	0	57
in general, no	0	0
in general, no	0	14
in general, no	0	20
in general, no	5	35
in general, no	3	9
in general, no	0	54
in general, no	10	21
in general, no	34	97
in general, no	3	31
in general, no	0	27
in general, no	0	59
in general, no	11	25
in general, no	0	50
in general, no	1	12
in general, no	3	12
in general, no	4	7
in general, no	10	50
in general, no	0	74
in general, no	13	51
in general, no	6	43
it can be but not necessarily	38	100
it can be but not necessarily	48	64
it can be but not necessarily	44	100
it can be but not necessarily	53	100
it can be but not necessarily	50	100
it can be but not necessarily	9	100
it can be but not necessarily	61	85
it can be but not necessarily	28	73
it can be but not necessarily	43	100
it can be but not necessarily	56	100
it can be but not necessarily	13	91
it can be but not necessarily	17	93
it can be but not necessarily	37	69
it can be but not necessarily	28	64
it can be but not necessarily	50	87
it can be but not necessarily	59	100
it can be but not necessarily	20	44
it can be but not necessarily	9	100
it can be but not necessarily	14	55
it can be but not necessarily	48	100
it can be but not necessarily	22	100
it can be but not necessarily	29	100
it can be but not necessarily	16	75
it can be but not necessarily	48	48
it can be but not necessarily	17	48
it can be but not necessarily	74	88
it can be but not necessarily	28	72
it can be but not necessarily	13	85
it can be but not necessarily	46	63
it can be but not necessarily	6	45
it can be but not necessarily	49	80
it depends	26	77
it depends	49	100
it depends	11	83
it depends	47	100
it depends	49	100
it depends	33	56
it depends	10	89
it depends	27	100
it depends	47	100
it depends	48	53
it depends	16	84
it depends	51	100
it depends	13	84
it depends	9	82
it depends	52	52
it depends	35	60
it depends	53	57
it depends	44	64
it depends	23	78
it depends	47	100
it depends	25	77
it depends	42	100
it depends	14	84
it depends	25	71
it depends	20	81
it depends	34	57
it depends	42	42
it depends	23	77
it depends	29	80
it's possible, but generally i guess i'd say no 	15	77
it's possible, but generally i guess i'd say no 	0	61
it's possible, but generally i guess i'd say no 	27	100
it's possible, but generally i guess i'd say no 	21	100
it's possible, but generally i guess i'd say no 	21	100
it's possible, but generally i guess i'd say no 	17	100
it's possible, but generally i guess i'd say no 	6	100
it's possible, but generally i guess i'd say no 	0	22
it's possible, but generally i guess i'd say no 	8	57
it's possible, but generally i guess i'd say no 	31	100
it's possible, but generally i guess i'd say no 	13	100
it's possible, but generally i guess i'd say no 	37	100
it's possible, but generally i guess i'd say no 	12	60
it's possible, but generally i guess i'd say no 	34	63
it's possible, but generally i guess i'd say no 	0	79
it's possible, but generally i guess i'd say no 	0	14
it's possible, but generally i guess i'd say no 	0	21
it's possible, but generally i guess i'd say no 	23	100
it's possible, but generally i guess i'd say no 	6	58
it's possible, but generally i guess i'd say no 	10	71
it's possible, but generally i guess i'd say no 	17	60
it's possible, but generally i guess i'd say no 	18	21
it's possible, but generally i guess i'd say no 	7	38
it's possible, but generally i guess i'd say no 	3	45
it's possible, but generally i guess i'd say no 	0	58
it's possible, but generally i guess i'd say no 	0	13
it's possible, but generally i guess i'd say no 	34	69
it's possible, but generally i guess i'd say no 	15	22
it's possible, but generally i guess i'd say no 	0	73
kind of	49	86
kind of	39	79
kind of	26	100
kind of	54	100
kind of	57	100
kind of	65	100
kind of	24	73
kind of	20	80
kind of	52	100
kind of	39	85
kind of	17	85
kind of	24	53
kind of	43	70
kind of	10	42
kind of	81	100
kind of	0	51
kind of	49	54
kind of	46	88
kind of	33	71
kind of	30	74
kind of	45	70
kind of	70	70
kind of	49	58
kind of	36	56
kind of	60	67
kind of	27	66
kind of	29	61
kind of	82	100
maybe	20	78
maybe	46	100
maybe	0	49
maybe	52	52
maybe	50	100
maybe	0	65
maybe	28	61
maybe	0	48
maybe	31	100
maybe	0	51
maybe	0	52
maybe	25	78
maybe	49	100
maybe	48	53
maybe	52	100
maybe	6	93
maybe	50	100
maybe	53	100
maybe	49	49
maybe	49	100
maybe	72	100
maybe	0	54
maybe	0	66
maybe	0	62
maybe	0	53
maybe	0	57
maybe	49	100
maybe	63	71
maybe	29	65
maybe	52	77
maybe	53	100
maybe	0	57
maybe	20	93
maybe	46	63
maybe	48	58
maybe	43	47
maybe	35	62
maybe	0	51
maybe	20	80
maybe	0	100
maybe	56	56
mostly	78	100
mostly	77	100
mostly	91	100
mostly	67	100
mostly	81	100
mostly	49	100
mostly	49	94
mostly	35	100
mostly	20	100
mostly	27	88
mostly	62	100
mostly	38	100
mostly	21	80
mostly	55	100
mostly	59	100
mostly not	0	33
mostly not	0	58
mostly not	0	30
mostly not	3	80
mostly not	6	43
mostly not	0	17
mostly not	0	45
mostly not	0	23
mostly not	0	27
mostly not	4	53
mostly not	1	22
mostly not	0	20
mostly not	16	24
mostly not	4	63
mostly not	9	18
mostly not	9	34
mostly not	4	21
mostly not	34	63
mostly not	0	34
mostly not	13	17
mostly not	48	48
mostly not	7	14
mostly not	0	37
no	0	6
no	1	1
no	0	0
no	5	5
no	0	0
no	0	17
no	0	5
no	0	0
no	0	0
no	0	6
no	0	7
no	0	0
no	0	5
no	0	4
no	0	27
no	0	0
no	0	0
no	7	16
no	7	25
no	0	0
no	0	2
no	0	7
no	0	3
no	0	5
no	0	5
no	0	6
no	0	0
no	0	6
no	0	56
no	0	50
no	0	0
no in general	0	25
no in general	5	35
no in general	0	11
no in general	0	52
no in general	16	44
no in general	7	79
no in general	0	21
no in general	0	19
no in general	0	13
no in general	0	37
no in general	0	0
no in general	0	53
no in general	11	60
no in general	0	99
no in general	5	7
no in general	0	22
no in general	3	23
no in general	47	96
no in general	2	28
no in general	7	27
no in general	0	25
no in general	6	12
no in general	3	37
no in general	39	71
no in general	12	83
no in general	0	54
no in general	0	0
no it doesn't really relate	0	23
no it doesn't really relate	0	33
no it doesn't really relate	10	35
no it doesn't really relate	0	53
no it doesn't really relate	0	44
no it doesn't really relate	12	63
no it doesn't really relate	0	0
no it doesn't really relate	0	12
no it doesn't really relate	0	23
no it doesn't really relate	0	8
no it doesn't really relate	0	0
no it doesn't really relate	4	10
no it doesn't really relate	1	1
no it doesn't really relate	21	21
no it doesn't really relate	0	42
no it doesn't really relate	1	24
no it doesn't really relate	14	40
no it doesn't really relate	0	20
no it doesn't really relate	9	36
no it doesn't really relate	0	17
no it doesn't really relate	11	19
no it doesn't really relate	35	90
no it doesn't really relate	0	100
no it doesn't really relate	1	19
no it doesn't really relate	0	28
no it doesn't really relate	15	59
no it doesn't really relate	39	49
no not exactly	5	57
no not exactly	16	36
no not exactly	0	37
no not exactly	0	8
no not exactly	0	15
no not exactly	0	17
no not exactly	7	58
no not exactly	5	27
no not exactly	6	6
no not exactly	0	0
no not exactly	11	53
no not exactly	0	41
no not exactly	0	57
no not exactly	0	13
no not exactly	0	39
no not exactly	0	31
no not exactly	9	31
no not exactly	0	0
no not exactly	0	59
no not exactly	0	45
no not exactly	0	18
no not exactly	16	46
no not exactly	58	90
no not exactly	6	7
no not exactly	9	39
no not exactly	46	95
no not exactly	0	0
no not exactly	0	42
no not exactly	31	48
no not exactly	4	33
no not necessarily at least	0	25
no not necessarily at least	13	76
no not necessarily at least	0	36
no not necessarily at least	0	33
no not necessarily at least	7	38
no not necessarily at least	0	35
no not necessarily at least	0	0
no not necessarily at least	0	29
no not necessarily at least	0	15
no not necessarily at least	0	32
no not necessarily at least	8	39
no not necessarily at least	0	42
no not necessarily at least	8	21
no not necessarily at least	0	53
no not necessarily at least	7	10
no not necessarily at least	0	18
no not necessarily at least	7	18
no not necessarily at least	8	45
no not necessarily at least	4	42
no not necessarily at least	2	37
no not necessarily at least	14	48
no not necessarily at least	10	86
no not necessarily at least	26	26
no not necessarily at least	18	18
no not necessarily but could be	19	69
no not necessarily but could be	0	48
no not necessarily but could be	21	78
no not necessarily but could be	23	59
no not necessarily but could be	0	38
no not necessarily but could be	0	47
no not necessarily but could be	26	85
no not necessarily but could be	0	20
no not necessarily but could be	50	67
no not necessarily but could be	0	56
no not necessarily but could be	8	8
no not necessarily but could be	45	63
no not necessarily but could be	48	53
no not necessarily but could be	16	61
no not necessarily but could be	28	75
no not necessarily but could be	61	64
no not necessarily but could be	11	41
no not necessarily but could be	35	65
no not necessarily but could be	50	92
no not necessarily but could be	35	35
no not necessarily but could be	23	31
no not necessarily but could be	0	73
no not necessarily but could be	18	18
no not really	3	31
no not really	1	24
no not really	0	4
no not really	5	48
no not really	0	23
no not really	5	66
no not really	0	28
no not really	0	12
no not really	7	50
no not really	0	23
no not really	11	11
no not really	0	9
no not really	5	18
no not really	0	0
no not really	0	15
no not really	0	16
no not really	0	20
no not really	0	0
no not really	0	23
no not really	0	0
no not really	0	22
no not really	0	48
no not really	8	33
no not really	8	15
no not really	56	97
no not really	14	14
no not really	27	40
no not really	18	18
no not really	13	22
NO!	0	1
NO!	0	0
NO!	0	0
NO!	0	0
NO!	0	0
NO!	0	5
NO!	0	0
NO!	0	5
NO!	0	0
NO!	0	0
NO!	0	0
NO!	0	0
NO!	0	0
NO!	0	7
NO!	0	0
NO!	0	1
NO!	0	3
NO!	0	0
NO!	0	8
NO!	0	0
NO!	0	0
NO!	0	0
NO!	0	0
no, it can be but not necessarily	23	74
no, it can be but not necessarily	58	75
no, it can be but not necessarily	9	49
no, it can be but not necessarily	0	9
no, it can be but not necessarily	0	55
no, it can be but not necessarily	0	55
no, it can be but not necessarily	0	25
no, it can be but not necessarily	27	64
no, it can be but not necessarily	0	47
no, it can be but not necessarily	37	61
no, it can be but not necessarily	0	75
no, it can be but not necessarily	14	32
no, it can be but not necessarily	0	49
no, it can be but not necessarily	0	51
no, it can be but not necessarily	17	61
no, it can be but not necessarily	10	41
no, it can be but not necessarily	11	39
no, it can be but not necessarily	4	26
no, it can be but not necessarily	14	60
no, it can be but not necessarily	63	90
no, it can be but not necessarily	0	66
no, not at all	0	0
no, not at all	0	9
no, not at all	0	0
no, not at all	0	0
no, not at all	0	0
no, not at all	3	21
no, not at all	0	9
no, not at all	1	1
no, not at all	0	9
no, not at all	0	0
no, not at all	0	0
no, not at all	0	0
no, not at all	0	0
no, not at all	0	0
no, not at all	0	0
no, not at all	0	0
no, not at all	0	8
no, not at all	0	20
no, not at all	0	9
no, not at all	0	7
no, not at all	0	0
no, not at all	0	6
no, not at all	2	5
no, not at all	0	9
no, not at all	0	0
no, not at all	0	6
no, not at all	0	22
no, not at all	1	8
no, not generally	8	38
no, not generally	0	25
no, not generally	6	49
no, not generally	0	19
no, not generally	0	11
no, not generally	0	57
no, not generally	0	23
no, not generally	0	10
no, not generally	7	7
no, not generally	8	56
no, not generally	0	20
no, not generally	11	33
no, not generally	12	52
no, not generally	14	67
